ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-29382N|refseq:NP_001018125|uniprotkb:Q9BXW9	DIP-146N|uniprotkb:P49716	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20805509|pubmed:DIP-15433S|pubmed:20805509|pubmed:DIP-15433S|pubmed:20805509|pubmed:DIP-15433S|pubmed:20805509|pubmed:DIP-15433S|pubmed:20805509|pubmed:DIP-15433S|pubmed:20805509|pubmed:DIP-15433S|pubmed:20805509|pubmed:DIP-15433S|pubmed:20805509|pubmed:DIP-15433S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189461E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-42832N|uniprotkb:O95140	DIP-42832N|uniprotkb:O95140	-	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19052620|pubmed:DIP-15420S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189310E	dip-quality-status:core	dip:0004(small scale)		-
DIP-146N|uniprotkb:P49716	DIP-30998N|refseq:NP_006452|uniprotkb:Q96R06	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20805509|pubmed:DIP-15433S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189491E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59698N|refseq:NP_997116|uniprotkb:Q8CFR0	DIP-56121N|uniprotkb:O60242	 -	-	-	-	MI:0096(pull down)	-	pubmed:21262840|pubmed:DIP-15333S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189146E	dip-quality-status:core	dip:0004(small scale)		-
DIP-42063N|uniprotkb:P23471	DIP-59714N|uniprotkb:Q12860	 -	-	-	-	MI:0071(molecular sieving)|MI:0096(pull down)|MI:0114(x-ray crystallography)	-	pubmed:21969550|pubmed:DIP-15353S|pubmed:21969550|pubmed:DIP-15353S|pubmed:21969550|pubmed:DIP-15353S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189168E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-53082N|uniprotkb:Q63198	DIP-42063N|uniprotkb:P23471	 -	-	-	-	MI:0096(pull down)	-	pubmed:21969550|pubmed:DIP-15353S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189169E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59715N|uniprotkb:Q62656	DIP-59714N|uniprotkb:Q12860	 -	-	-	-	MI:0096(pull down)	-	pubmed:21969550|pubmed:DIP-15353S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189170E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59716N|refseq:NP_001074775	DIP-59714N|uniprotkb:Q12860	 -	-	-	-	MI:0096(pull down)	-	pubmed:21969550|pubmed:DIP-15353S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189171E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56412N|uniprotkb:O00411	DIP-50865N|uniprotkb:P52815	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22003127|pubmed:DIP-15355S|pubmed:22003127|pubmed:DIP-15355S|pubmed:22003127|pubmed:DIP-15355S|pubmed:22003127|pubmed:DIP-15355S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189172E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-29894N|refseq:NP_054765|uniprotkb:Q9Y676	DIP-44136N|uniprotkb:Q92552	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:22003127|pubmed:DIP-15355S|pubmed:22003127|pubmed:DIP-15355S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189174E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-40808N|refseq:NP_037042|uniprotkb:P29066	DIP-33401N|uniprotkb:P35348	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22089237|pubmed:DIP-15358S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189178E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40563N|uniprotkb:P20711	DIP-40563N|uniprotkb:P20711	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:22143761|pubmed:DIP-15361S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189183E	dip-quality-status:core	dip:0004(small scale)		-
DIP-41284N|refseq:NP_990849|uniprotkb:P60706	DIP-33178N|uniprotkb:Q9Y281	 -	-	-	-	MI:0410(electron tomography)	-	pubmed:22158895|pubmed:DIP-15362S	taxid:9031(Gallus gallus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189184E	dip-quality-status:core	dip:0004(small scale)		-
DIP-33604N|refseq:NP_002096|uniprotkb:P16104	DIP-35642N|refseq:NP_115784|uniprotkb:Q9UIG0	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:19092802|pubmed:DIP-15365S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-189188E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59723N	DIP-33603N|uniprotkb:Q14676	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:19092802|pubmed:DIP-15365S|pubmed:19092802|pubmed:DIP-15365S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-189189E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-34769N|refseq:NP_612564|uniprotkb:O00206	DIP-59729N|uniprotkb:P49278	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19060881|pubmed:DIP-15370S|pubmed:19060881|pubmed:DIP-15370S|pubmed:19060881|pubmed:DIP-15370S	taxid:9606(Homo sapiens)	taxid:6956(Dermatophagoides pteronyssinus (House-dust mite))	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-189195E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-59729N|uniprotkb:P49278	DIP-38571N|refseq:NP_056179|uniprotkb:Q9Y6Y9	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19060881|pubmed:DIP-15370S|pubmed:19060881|pubmed:DIP-15370S	taxid:6956(Dermatophagoides pteronyssinus (House-dust mite))	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189196E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-1030N|refseq:NP_000582|uniprotkb:P08571	DIP-59729N|uniprotkb:P49278	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19060881|pubmed:DIP-15370S	taxid:9606(Homo sapiens)	taxid:6956(Dermatophagoides pteronyssinus (House-dust mite))	MI:0915(physical association)	MI:0465(dip)	DIP-189197E	dip-quality-status:core	dip:0004(small scale)		-
DIP-38571N|refseq:NP_056179|uniprotkb:Q9Y6Y9	DIP-59105N|refseq:NP_004262|uniprotkb:O95711	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19060881|pubmed:DIP-15370S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189199E	dip-quality-status:core	dip:0004(small scale)		-
DIP-30915N|uniprotkb:Q14790	DIP-33804N|refseq:NP_006281|uniprotkb:P21580	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19060883|pubmed:DIP-15374S|pubmed:19060883|pubmed:DIP-15374S|pubmed:19060883|pubmed:DIP-15374S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189204E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-59733N|refseq:NP_848704|uniprotkb:Q9EPU5	DIP-574N|uniprotkb:P05067	 -	-	-	-	MI:0096(pull down)	-	pubmed:19225519|pubmed:DIP-15426S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189207E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59733N|refseq:NP_848704|uniprotkb:Q9EPU5	DIP-31047N|uniprotkb:Q06481	 -	-	-	-	MI:0096(pull down)	-	pubmed:19225519|pubmed:DIP-15426S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189208E	dip-quality-status:core	dip:0004(small scale)		-
DIP-480N|uniprotkb:P06213	DIP-39500N|uniprotkb:P81122	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0096(pull down)|MI:0424(protein kinase assay)|MI:0065(isothermal titration calorimetry)	-	pubmed:18278056|pubmed:DIP-11685S|pubmed:18278056|pubmed:DIP-11685S|pubmed:18278056|pubmed:DIP-11685S|pubmed:18278056|pubmed:DIP-11685S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0217(phosphorylation reaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189211E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-480N|uniprotkb:P06213	DIP-480N|uniprotkb:P06213	-	-	-	-	MI:0071(molecular sieving)|MI:0424(protein kinase assay)|MI:0114(x-ray crystallography)	-	pubmed:23302862|pubmed:DIP-15815S|pubmed:18278056|pubmed:DIP-11685S|pubmed:16957736|pubmed:DIP-16159S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0217(phosphorylation reaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189212E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-40089N|refseq:NP_004304|uniprotkb:P32121	DIP-480N|uniprotkb:P06213	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19122674|pubmed:DIP-15378S|pubmed:19122674|pubmed:DIP-15378S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189229E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-40089N|refseq:NP_004304|uniprotkb:P32121	DIP-32583N|refseq:NP_001617|uniprotkb:P31751	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19122674|pubmed:DIP-15378S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189230E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24269N|uniprotkb:P31749	DIP-40089N|refseq:NP_004304|uniprotkb:P32121	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19122674|pubmed:DIP-15378S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189231E	dip-quality-status:core	dip:0004(small scale)		-
DIP-27618N|uniprotkb:Q9ULZ3	DIP-59741N|refseq:NP_004824|uniprotkb:O14862	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19158676|pubmed:DIP-15385S|pubmed:19158675|pubmed:DIP-15384S|pubmed:19158676|pubmed:DIP-15385S|pubmed:19158675|pubmed:DIP-15384S|pubmed:19158676|pubmed:DIP-15385S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189244E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-59741N|refseq:NP_004824|uniprotkb:O14862	DIP-59741N|refseq:NP_004824|uniprotkb:O14862	-	-	-	-	MI:0030(cross-linking study)	-	pubmed:19158676|pubmed:DIP-15385S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189245E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59742N|refseq:NP_003995|uniprotkb:P29033	DIP-59742N|refseq:NP_003995|uniprotkb:P29033	-	-	-	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0020(transmission electron microscopy)|MI:0410(electron tomography)	-	pubmed:19340074|pubmed:DIP-15388S|pubmed:19340074|pubmed:DIP-15388S|pubmed:17551008|pubmed:DIP-16826S|pubmed:17551008|pubmed:DIP-16826S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189247E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-59745N|uniprotkb:Q9JXV4	DIP-38303N|uniprotkb:P08603	 -	-	-	-	MI:0071(molecular sieving)|MI:0107(surface plasmon resonance)|MI:0114(x-ray crystallography)|MI:0107(surface plasmon resonance)|MI:0047(far western blotting)|MI:0107(surface plasmon resonance)	-	pubmed:19225461|pubmed:DIP-15390S|pubmed:19225461|pubmed:DIP-15390S|pubmed:19225461|pubmed:DIP-15390S|pubmed:19225461|pubmed:DIP-15390S|pubmed:19225461|pubmed:DIP-15390S|pubmed:19225461|pubmed:DIP-15390S	taxid:491(Neisseria meningitidis serogroup B)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189249E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-30891N|refseq:NP_005753|uniprotkb:Q13263	DIP-59749N|refseq:NP_766351|uniprotkb:Q4KL58	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19270682|pubmed:DIP-15392S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-189251E	dip-quality-status:core	dip:0004(small scale)		-
DIP-33678N|refseq:NP_003391|uniprotkb:O14980	DIP-53427N|uniprotkb:Q96D46	 -	-	-	-	MI:0096(pull down)	-	pubmed:19339969|pubmed:DIP-15393S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189252E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24244N|uniprotkb:Q99708	DIP-59755N|refseq:NP_989500|uniprotkb:Q90Z51	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19357644|pubmed:DIP-15397S	taxid:9606(Homo sapiens)	taxid:9031(Gallus gallus)	MI:0915(physical association)	MI:0465(dip)	DIP-189259E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48374N	DIP-472N|refseq:NP_005047|uniprotkb:P29375	 -	-	-	-	MI:0096(pull down)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0065(isothermal titration calorimetry)|MI:0077(nuclear magnetic resonance)	-	pubmed:19430464|pubmed:DIP-15402S|pubmed:19430464|pubmed:DIP-15402S|pubmed:19430464|pubmed:DIP-15402S|pubmed:19430464|pubmed:DIP-15402S|pubmed:19430464|pubmed:DIP-15402S	taxid:-2(chemical synthesis)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189265E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48484N|uniprotkb:Q92945	DIP-29664N|uniprotkb:Q9UPY3	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19458619|pubmed:DIP-15406S|pubmed:19458619|pubmed:DIP-15406S|pubmed:19458619|pubmed:DIP-15406S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189274E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48484N|uniprotkb:Q92945	DIP-29665N|uniprotkb:Q15633	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19458619|pubmed:DIP-15406S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189275E	dip-quality-status:core	dip:0004(small scale)		-
DIP-33300N|refseq:NP_037367|uniprotkb:Q9NRR4	DIP-48484N|uniprotkb:Q92945	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19458619|pubmed:DIP-15406S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189276E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48484N|uniprotkb:Q92945	DIP-29261N|uniprotkb:Q8WYQ5	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19458619|pubmed:DIP-15406S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189277E	dip-quality-status:core	dip:0004(small scale)		-
DIP-34547N|refseq:NP_065801|uniprotkb:Q9HAV4	DIP-48484N|uniprotkb:Q92945	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19458619|pubmed:DIP-15406S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189278E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24238N|refseq:NP_068810|uniprotkb:Q04206	DIP-49905N|uniprotkb:P52943	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:21540330|pubmed:DIP-15304S|pubmed:21540330|pubmed:DIP-15304S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189004E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-47455N|uniprotkb:Q13563	DIP-47455N|uniprotkb:Q13563	-	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0114(x-ray crystallography)|MI:0826(x ray scattering)|MI:0104(static light scattering)|MI:0038(dynamic light scattering)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)	-	pubmed:21622852|pubmed:DIP-15308S|pubmed:19556541|pubmed:DIP-16595S|pubmed:21622852|pubmed:DIP-15308S|pubmed:19556541|pubmed:DIP-16595S|pubmed:19556541|pubmed:DIP-16595S|pubmed:21622852|pubmed:DIP-15308S|pubmed:19556541|pubmed:DIP-16595S|pubmed:21622852|pubmed:DIP-15308S|pubmed:21622852|pubmed:DIP-15308S|pubmed:19556541|pubmed:DIP-16595S|pubmed:19556541|pubmed:DIP-16595S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189007E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-1702N|refseq:NP_010597|uniprotkb:P32776	DIP-43776N|refseq:NP_006554|uniprotkb:Q13351	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0077(nuclear magnetic resonance)|MI:0077(nuclear magnetic resonance)	-	pubmed:21670263|pubmed:DIP-15314S|pubmed:21670263|pubmed:DIP-15314S|pubmed:21670263|pubmed:DIP-15314S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189017E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-708N|refseq:NP_005307|uniprotkb:P32780	DIP-43776N|refseq:NP_006554|uniprotkb:Q13351	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0077(nuclear magnetic resonance)	-	pubmed:21670263|pubmed:DIP-15314S|pubmed:21670263|pubmed:DIP-15314S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189018E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-43776N|refseq:NP_006554|uniprotkb:Q13351	DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0065(isothermal titration calorimetry)	-	pubmed:21670263|pubmed:DIP-15314S|pubmed:21670263|pubmed:DIP-15314S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189019E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-43776N|refseq:NP_006554|uniprotkb:Q13351	DIP-257N|refseq:NP_001420|uniprotkb:Q09472	 -	-	-	-	MI:0065(isothermal titration calorimetry)	-	pubmed:21670263|pubmed:DIP-15314S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189020E	dip-quality-status:core	dip:0004(small scale)		-
DIP-1702N|refseq:NP_010597|uniprotkb:P32776	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:21670263|pubmed:DIP-15314S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189021E	dip-quality-status:core	dip:0004(small scale)		-
DIP-34311N|refseq:NP_003296|uniprotkb:Q13507	DIP-33231N|refseq:NP_783569|uniprotkb:Q80UE6	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:21670282|pubmed:DIP-15315S|pubmed:21670282|pubmed:DIP-15315S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189022E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-53284N|uniprotkb:P51810	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:21730137|pubmed:DIP-15320S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189030E	dip-quality-status:core	dip:0004(small scale)		-
DIP-53284N|uniprotkb:P51810	DIP-29102N|uniprotkb:Q99LI8	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:21730137|pubmed:DIP-15320S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-189031E	dip-quality-status:core	dip:0004(small scale)		-
DIP-50866N|uniprotkb:Q02790	DIP-125N|uniprotkb:P10275	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:21730179|pubmed:DIP-15323S|pubmed:21730179|pubmed:DIP-15323S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189035E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-125N|uniprotkb:P10275	DIP-413N|refseq:NP_031381|uniprotkb:P08238	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:21730179|pubmed:DIP-15323S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189036E	dip-quality-status:core	dip:0004(small scale)		-
DIP-56121N|uniprotkb:O60242	DIP-59699N|refseq:NP_694795|uniprotkb:Q9ESN4	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0107(surface plasmon resonance)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:21262840|pubmed:DIP-15333S|pubmed:21262840|pubmed:DIP-15333S|pubmed:21262840|pubmed:DIP-15333S|pubmed:21262840|pubmed:DIP-15333S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-189048E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
